meanfreq,sd,median,Q25,Q75,IQR,skew,kurt,sp.ent,sfm,mode,centroid,meanfun,minfun,maxfun,meandom,mindom,maxdom,dfrange,modindx,age,gender
0.19988011,0.035104502,0.201201717,0.188497854,0.214763948,0.026266094,2.962961654,12.89781336,0.85752522,0.237292424,0.203261803,0.19988011,0.153838422,0.043968096,0.277358491,0.704522236,0,6.718359375,6.718359375,0.090470085,twenties,female
0.191104669,0.054877221,0.205062241,0.151618257,0.229460581,0.077842324,1.358339232,4.785498171,0.925402764,0.484097648,0.208547718,0.191104669,0.115837129,0.043491124,0.246368715,0.937808122,0,4.931103516,4.931103516,0.085488747,seventies,male
0.19995942,0.037430373,0.201524132,0.183031329,0.216697714,0.033666384,2.552780364,10.46064147,0.867840125,0.266817946,0.207451312,0.19995942,0.189975128,0.050631458,0.279113924,0.805406075,0,3.617578125,3.617578125,0.134792627,thirties,female
0.194693678,0.051859254,0.191569149,0.153776596,0.242579787,0.088803191,1.230404523,3.866064605,0.919917234,0.38420513,0.242952128,0.194693678,0.133643567,0.0441,0.275625,0.457517233,0,4.995703125,4.995703125,0.048296635,sixties,male
0.145425744,0.066539931,0.134346154,0.092615385,0.201923077,0.109307692,1.175553615,4.492541126,0.961836101,0.703344225,0.092076923,0.145425744,0.11231485,0.04370664,0.279113924,0.261754261,0,4.242041016,4.242041016,0.08327617,fifties,male
0.184146342,0.05980932,0.178590853,0.13394314,0.243658838,0.109715698,1.434335946,5.242918345,0.934414454,0.489894158,0.125463535,0.184146342,0.138777713,0.043577075,0.279113924,3.001598011,0,21.89926758,21.89926758,0.122597167,thirties,male
0.19215122,0.056049495,0.197142857,0.164,0.237142857,0.073142857,1.447003025,5.004049404,0.926729477,0.469316122,0.177428571,0.19215122,0.114948425,0.043108504,0.277358491,0.89578125,0,6.847558594,6.847558594,0.077542568,thirties,male
0.196133525,0.042748573,0.199369628,0.177707736,0.220429799,0.042722063,2.175288269,7.896727327,0.893815696,0.363309873,0.179713467,0.196133525,0.152645308,0.043620178,0.277358491,1.044360352,0,9.173144531,9.173144531,0.077308294,twenties,female
0.191434336,0.061128963,0.200571429,0.132,0.246285714,0.114285714,1.148297177,3.819021473,0.929840377,0.480764522,0.262,0.191434336,0.109346276,0.043150685,0.264071856,0.907671323,0,6.029296875,6.029296875,0.085347985,twenties,male
0.204487976,0.047740782,0.216582018,0.1708442,0.239258751,0.06841455,3.204341088,18.52780541,0.904411508,0.309976026,0.221770762,0.204487976,0.122098769,0.044771574,0.279113924,0.605036197,0,9.474609375,9.474609375,0.05036157,thirties,male
0.232014541,0.041896937,0.239929619,0.211847507,0.264234604,0.052387097,1.961091773,6.983334255,0.874639355,0.237026547,0.273431085,0.232014541,0.181098122,0.047521552,0.277358491,0.458577474,0,2.562451172,2.562451172,0.084908964,fourties,female
0.203549503,0.060201349,0.214201012,0.16439624,0.248011569,0.083615329,2.513313701,11.35962756,0.91823117,0.459450229,0.273723789,0.203549503,0.108472517,0.043793446,0.272222222,0.722010895,0,4.565039063,4.565039063,0.098698352,twenties,male
0.202230682,0.03248082,0.204890208,0.191596439,0.214362018,0.022765579,2.649727974,9.658239195,0.838909424,0.206861049,0.207050445,0.202230682,0.141389953,0.044232698,0.273913043,1.55796274,0.172265625,8.807080078,8.634814453,0.107316935,teens,female
0.178839203,0.057995456,0.2,0.121975309,0.224938272,0.102962963,1.846806641,6.809205117,0.912964219,0.404642334,0.211604938,0.178839203,0.122091269,0.043577075,0.268902439,0.838997396,0,4.8234375,4.8234375,0.128324468,twenties,male
0.174500475,0.05916654,0.175126271,0.121403739,0.226461135,0.105057396,1.765046899,7.775900793,0.938518807,0.454871971,0.125628075,0.174500475,0.124361881,0.043491124,0.279113924,1.309725414,0,6.007763672,6.007763672,0.084491651,thirties,male
0.197139858,0.049650182,0.202752525,0.175,0.228914141,0.053914141,1.756052977,6.411419102,0.919112381,0.420518482,0.200808081,0.197139858,0.108486297,0.043108504,0.279113924,0.828851819,0.129199219,5.555566406,5.426367188,0.108579639,sixties,male
0.198743279,0.046104744,0.202740741,0.171888889,0.233074074,0.061185185,1.536660157,5.50980988,0.912762588,0.367717947,0.201444444,0.198743279,0.134000234,0.043150685,0.273913043,0.667115197,0,4.155908203,4.155908203,0.139286803,fourties,male
0.153355157,0.061101179,0.140389972,0.114651811,0.194986072,0.080334262,1.947045531,7.572612771,0.945919035,0.662351788,0.130640669,0.153355157,0.114384533,0.043277723,0.270552147,0.299124278,0,3.897509766,3.897509766,0.067894414,twenties,male
0.206612924,0.046628881,0.211099476,0.190901687,0.234554974,0.043653287,2.653156702,12.21346391,0.898466442,0.3765755,0.209796393,0.206612924,0.165831454,0.043836978,0.275625,0.58494313,0,5.749365234,5.749365234,0.061238387,thirties,female
0.199733388,0.043163715,0.202730769,0.193307692,0.221846154,0.028538462,4.818663872,32.48764536,0.86237326,0.329477532,0.200846154,0.199733388,0.099773589,0.043235294,0.273913043,1.100150923,0.215332031,4.844970703,4.629638672,0.122170543,fourties,male
0.171140321,0.058442761,0.177575758,0.113939394,0.212727273,0.098787879,1.431502133,5.265791577,0.921405751,0.463710188,0.101212121,0.171140321,0.117715691,0.044590495,0.245,0.373997738,0.107666016,0.732128906,0.624462891,0.25,thirties,male
0.201556572,0.045982919,0.200831601,0.179293139,0.234206514,0.054913375,1.742900555,6.537329933,0.908670224,0.337268911,0.185114345,0.201556572,0.141058123,0.04370664,0.279113924,0.854528166,0.107666016,6.180029297,6.072363281,0.155061251,seventies,male
0.180959379,0.047810488,0.169928264,0.152252511,0.198852224,0.046599713,4.184858721,25.18255517,0.855045484,0.305295222,0.169124821,0.180959379,0.138033542,0.04370664,0.275625,0.684277344,0,6.223095703,6.223095703,0.099480969,fifties,female
0.23658992,0.038440773,0.246801872,0.221684867,0.261653666,0.039968799,2.10662507,6.77240199,0.847989899,0.190944752,0.248549142,0.23658992,0.177109008,0.045652174,0.279113924,0.893935547,0,6.352294922,6.352294922,0.095724766,twenties,female
0.199916015,0.057620243,0.223461538,0.133269231,0.245269231,0.112,1.871897611,6.345900053,0.899671218,0.346082934,0.229653846,0.199916015,0.108800049,0.047014925,0.240983607,0.419550151,0.215332031,0.602929688,0.387597656,0.193415638,fifties,male
0.225739506,0.044641127,0.232884615,0.210224359,0.255096154,0.044871795,2.065008413,7.177505988,0.873089142,0.291149528,0.222788462,0.225739506,0.164839576,0.043620178,0.275625,0.460272217,0.043066406,4.349707031,4.306640625,0.068269231,twenties,male
0.205448882,0.062356049,0.227358491,0.161132075,0.259056604,0.097924528,2.130241117,7.800685642,0.903505242,0.406083537,0.279056604,0.205448882,0.106619114,0.044011976,0.275625,0.393374857,0.129199219,1.808789063,1.679589844,0.078895464,twenties,male
